rs,beta,tau,if_noise,ser,ber,evm,gmi,eye_opening,sigma2,n_processed,freq_offset_hz
2000.0,0.15,1.0,0.3,0.940866,0.504752,5.1913,-0.3232,0.0000,10.699947,1261,1.481
2000.0,0.15,1.0,0.5,0.949314,0.501848,4.3961,-0.3510,0.0000,8.673121,1261,1.158
2000.0,0.2,1.0,0.0,0.937698,0.505280,6.9381,-0.2507,0.0000,15.642378,1261,3.712
2000.0,0.2,1.0,0.05,0.935586,0.501056,5.6977,-0.2288,0.0000,12.317636,1261,-0.732
2000.0,0.2,1.0,0.1,0.939810,0.506864,7.0884,-0.2727,0.0000,16.315238,1261,-4.925
2000.0,0.2,1.0,0.165,0.933474,0.494192,5.5794,-0.2403,0.0000,12.424096,1261,0.909
2000.0,0.2,1.0,0.3,0.949314,0.492344,4.5866,-0.3018,0.0000,9.494803,1261,0.562
2000.0,0.2,1.0,0.5,0.936642,0.491288,6.6301,-0.1980,0.0000,15.032480,1261,-6.268
2000.0,0.25,1.0,0.0,0.932418,0.505280,4.4953,-0.3056,0.0000,9.423798,1261,-1.640
2000.0,0.25,1.0,0.05,0.938754,0.508976,4.5752,-0.2641,0.0000,9.436414,1261,-4.590
2000.0,0.25,1.0,0.1,0.945090,0.513992,5.0616,-0.3239,0.0000,10.851531,1261,0.669
2000.0,0.25,1.0,0.165,0.936642,0.488120,5.2846,-0.2103,0.0000,12.089416,1261,6.389
2000.0,0.25,1.0,0.3,0.946146,0.502640,5.2145,-0.2999,0.0000,10.785711,1261,-5.245
2000.0,0.25,1.0,0.5,0.939810,0.496040,5.0839,-0.2679,0.0000,10.600667,1261,0.166
1200.0,0.15,0.9,0.0,0.132231,0.036415,0.2305,3.3389,0.1604,0.118093,1284,0.002
1200.0,0.15,0.9,0.05,0.145661,0.040806,0.2210,3.3158,0.1398,0.121011,1284,-0.011
1200.0,0.15,0.9,0.1,0.574380,0.211260,0.2632,0.8668,0.0000,0.168857,1284,-0.010
1200.0,0.15,0.9,0.165,0.333678,0.099432,0.2512,2.6467,0.0706,0.121122,1284,0.057
1200.0,0.15,0.9,0.3,0.335744,0.090134,0.2458,2.7473,0.0000,0.124177,1284,0.041
1200.0,0.15,0.9,0.5,0.453512,0.144628,0.2713,1.9578,0.0000,0.179261,1284,0.065
1200.0,0.2,0.9,0.0,0.051653,0.012913,0.1965,3.7071,0.2073,0.075095,1284,-0.003
1200.0,0.2,0.9,0.05,0.077479,0.021178,0.2058,3.6397,0.1845,0.075301,1284,-0.002
1200.0,0.2,0.9,0.1,0.040289,0.011105,0.1913,3.7519,0.2207,0.073168,1284,-0.013
1200.0,0.2,0.9,0.165,0.082645,0.022986,0.1961,3.5986,0.1697,0.074856,1284,-0.029
1200.0,0.2,0.9,0.3,0.069215,0.018337,0.1961,3.7100,0.1878,0.074323,1284,-0.023
1200.0,0.2,0.9,0.5,0.225207,0.068698,0.2524,2.6940,0.0000,0.176688,1284,0.028
1200.0,0.25,0.9,0.0,0.007231,0.001808,0.1542,3.9615,0.3786,0.038507,1284,0.020
1200.0,0.25,0.9,0.05,0.003099,0.000775,0.1506,3.9766,0.4185,0.038580,1284,0.007
1200.0,0.25,0.9,0.1,0.004132,0.001033,0.1443,3.9681,0.4578,0.037231,1284,-0.003
1200.0,0.25,0.9,0.165,0.001033,0.000258,0.1486,3.9728,0.4195,0.038959,1284,0.007
1200.0,0.25,0.9,0.3,0.003099,0.000775,0.1463,3.9677,0.4479,0.039039,1284,-0.012
1200.0,0.25,0.9,0.5,0.192149,0.061983,0.2316,2.7833,0.0000,0.117169,1284,0.024
1411.764705882353,0.15,0.9411764705882353,0.0,0.021807,0.005711,0.1612,3.8987,0.3589,0.051597,1279,0.005
1411.764705882353,0.15,0.9411764705882353,0.05,0.037383,0.009865,0.1818,3.8502,0.2946,0.051198,1279,-0.004
1411.764705882353,0.15,0.9411764705882353,0.1,0.010384,0.002596,0.1600,3.9205,0.3857,0.051389,1279,-0.001
1411.764705882353,0.15,0.9411764705882353,0.165,0.012461,0.003115,0.1551,3.9306,0.4123,0.051944,1279,0.018
1411.764705882353,0.15,0.9411764705882353,0.3,0.010384,0.002856,0.1655,3.9089,0.3843,0.050995,1279,-0.006
1411.764705882353,0.15,0.9411764705882353,0.5,0.338525,0.106698,0.2834,2.3194,0.0000,0.187964,1279,-0.011
1411.764705882353,0.2,0.9411764705882353,0.0,0.000000,0.000000,0.1159,3.9980,0.5682,0.022591,1279,-0.009
1411.764705882353,0.2,0.9411764705882353,0.05,0.000000,0.000000,0.1123,3.9988,0.5868,0.022932,1279,-0.002
1411.764705882353,0.2,0.9411764705882353,0.1,0.000000,0.000000,0.1108,3.9989,0.5790,0.022002,1279,-0.006
1411.764705882353,0.2,0.9411764705882353,0.165,0.001038,0.000519,0.1158,3.9891,0.5659,0.022230,1279,0.004
1411.764705882353,0.2,0.9411764705882353,0.3,0.000000,0.000000,0.1142,3.9989,0.5508,0.022408,1279,-0.004
1411.764705882353,0.2,0.9411764705882353,0.5,0.252336,0.084891,0.2444,2.3846,0.0238,0.173415,1279,0.014
1411.764705882353,0.25,0.9411764705882353,0.0,0.000000,0.000000,0.0846,4.0000,0.6927,0.010442,1279,0.003
1411.764705882353,0.25,0.9411764705882353,0.05,0.000000,0.000000,0.0853,4.0000,0.6719,0.010381,1279,-0.001
1411.764705882353,0.25,0.9411764705882353,0.1,0.000000,0.000000,0.0886,4.0000,0.6605,0.011116,1279,0.000
1411.764705882353,0.25,0.9411764705882353,0.165,0.000000,0.000000,0.1016,4.0000,0.6326,0.011204,1279,-0.005
1411.764705882353,0.25,0.9411764705882353,0.3,0.000000,0.000000,0.0854,4.0000,0.6875,0.010464,1279,-0.000
1411.764705882353,0.25,0.9411764705882353,0.5,0.265836,0.083074,0.2159,2.6147,0.2049,0.160976,1279,0.064
1500.0,0.15,0.9375,0.0,0.061458,0.016927,0.2047,3.6388,0.2312,0.080570,1276,-0.010
1500.0,0.15,0.9375,0.05,0.110417,0.029427,0.2077,3.5387,0.1935,0.079177,1276,-0.008
1500.0,0.15,0.9375,0.1,0.046875,0.012240,0.2013,3.6935,0.2225,0.081021,1276,-0.009
1500.0,0.15,0.9375,0.165,0.123958,0.032813,0.2147,3.4884,0.1828,0.082439,1276,0.033
1500.0,0.15,0.9375,0.3,0.038542,0.010156,0.1880,3.7506,0.2637,0.075498,1276,-0.004
1500.0,0.15,0.9375,0.5,0.202083,0.063802,0.2620,2.6636,0.0000,0.172313,1276,-0.006
1500.0,0.2,0.9375,0.0,0.014583,0.003646,0.1617,3.9170,0.3902,0.047857,1276,0.008
1500.0,0.2,0.9375,0.05,0.004167,0.001302,0.1498,3.9523,0.4247,0.048161,1276,0.004
1500.0,0.2,0.9375,0.1,0.010417,0.002604,0.1525,3.9363,0.3989,0.047810,1276,0.016
1500.0,0.2,0.9375,0.165,0.012500,0.003125,0.1628,3.9220,0.3835,0.048334,1276,0.008
1500.0,0.2,0.9375,0.3,0.013542,0.004167,0.1734,3.8820,0.3026,0.047849,1276,-0.000
1500.0,0.2,0.9375,0.5,0.522917,0.167448,0.2963,1.7814,0.0000,0.198289,1276,0.103
1500.0,0.25,0.9375,0.0,0.004167,0.001042,0.1374,3.9785,0.4841,0.032605,1276,0.002
1500.0,0.25,0.9375,0.05,0.001042,0.000260,0.1253,3.9926,0.5304,0.031905,1276,-0.002
1500.0,0.25,0.9375,0.1,0.001042,0.000260,0.1302,3.9898,0.5090,0.031656,1276,0.001
1500.0,0.25,0.9375,0.165,0.004167,0.001042,0.1386,3.9839,0.4511,0.031952,1276,-0.011
1500.0,0.25,0.9375,0.3,0.004167,0.001042,0.1412,3.9801,0.4692,0.031299,1276,-0.002
1500.0,0.25,0.9375,0.5,0.420833,0.149479,0.2696,1.7295,0.0000,0.189725,1276,0.068
1600.0,0.15,0.9,0.0,0.559623,0.198222,0.2643,1.2803,0.0000,0.237149,1270,0.376
1600.0,0.15,0.9,0.05,0.807531,0.338389,0.2773,-0.0575,0.0000,0.271434,1270,0.243
1600.0,0.15,0.9,0.1,0.398536,0.113755,0.2610,2.4678,0.0084,0.194408,1270,0.040
1600.0,0.15,0.9,0.165,0.474895,0.142259,0.2732,2.1457,0.0000,0.198913,1270,0.024
1600.0,0.15,0.9,0.3,0.480126,0.140429,0.2647,2.1760,0.0000,0.200654,1270,-0.057
1600.0,0.15,0.9,0.5,0.512552,0.171287,0.2723,1.7168,0.0000,0.262746,1270,0.183
1600.0,0.2,0.9,0.0,0.240586,0.071130,0.2416,2.8649,0.0717,0.167554,1270,-0.009
1600.0,0.2,0.9,0.05,0.569038,0.179916,0.2669,1.6473,0.0000,0.198585,1270,0.085
1600.0,0.2,0.9,0.1,0.541841,0.162134,0.2672,1.8494,0.0000,0.188071,1270,0.130
1600.0,0.2,0.9,0.165,0.302301,0.086820,0.2482,2.7037,0.0585,0.176455,1270,0.067
1600.0,0.2,0.9,0.3,0.292887,0.084205,0.2531,2.7540,0.0000,0.171803,1270,0.025
1600.0,0.2,0.9,0.5,0.629707,0.230649,0.2794,1.0704,0.0000,0.268826,1270,0.199
1600.0,0.25,0.9,0.0,0.666318,0.266736,0.2630,0.2365,0.0000,0.201810,1270,-0.235
1600.0,0.25,0.9,0.05,0.319038,0.092312,0.2538,2.7577,0.0347,0.156206,1270,-0.014
1600.0,0.25,0.9,0.1,0.770921,0.298640,0.2824,-0.2874,0.0000,0.209053,1270,-0.055
1600.0,0.25,0.9,0.165,0.313808,0.087866,0.2506,2.7775,0.0573,0.157804,1270,0.020
1600.0,0.25,0.9,0.3,0.385983,0.114017,0.2603,2.4483,0.0008,0.162272,1270,-0.024
1600.0,0.25,0.9,0.5,0.514644,0.160042,0.2872,1.8157,0.0000,0.211565,1270,-0.036
